ActivityHour,Steps00,Steps01,Steps02,Steps03,Steps04,Steps05,Steps06,Steps07,Steps08,Steps09,Steps10,Steps11,Steps12,Steps13,Steps14,Steps15,Steps16,Steps17,Steps18,Steps19,Steps20,Steps21,Steps22,Steps23,Steps24,Steps25,Steps26,Steps27,Steps28,Steps29,Steps30,Steps31,Steps32,Steps33,Steps34,Steps35,Steps36,Steps37,Steps38,Steps39,Steps40,Steps41,Steps42,Steps43,Steps44,Steps45,Steps46,Steps47,Steps48,Steps49,Steps50,Steps51,Steps52,Steps53,Steps54,Steps55,Steps56,Steps57,Steps58,Steps59
10/21/2014 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 1:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 2:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 3:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 4:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 5:00:00 AM,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 6:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 7:00:00 AM,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 8:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,7,24,0,0,41,31,31,89,76,96,100,82,71,12,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,7,32,26,77,34,78,78,49,43,0,0,7
10/21/2014 9:00:00 AM,0,0,30,0,0,0,0,0,0,0,4,12,0,0,0,0,0,40,21,85,79,87,100,79,97,38,48,70,44,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,8,4,10,5,0,0,0,9,0,0,0,0,0
10/21/2014 10:00:00 AM,0,0,0,0,0,0,0,0,4,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,9,13,62,89,84,56,19,24,22,33,50,56,42,46,28,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 11:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 12:00:00 PM,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,80,52,87,86,92,82,42,12,0,0,0,0,0,0,0,0,20,46,72
10/21/2014 1:00:00 PM,89,86,81,80,63,77,11,18,6,33,3,0,0,0,34,40,34,35,47,0,19,13,32,69,94,102,101,48,10,0,28,71,44,69,66,39,75,35,9,32,29,27,63,37,0,68,23,12,42,27,0,53,62,0,32,43,12,0,27,63
10/21/2014 2:00:00 PM,71,76,57,31,0,38,7,27,23,30,23,23,82,97,109,111,104,94,34,36,40,60,59,60,40,48,38,16,0,0,21,0,0,0,0,9,6,0,0,0,0,0,0,21,79,51,82,79,80,51,81,72,97,50,48,35,49,0,8,46
10/21/2014 3:00:00 PM,6,0,40,41,9,0,26,8,40,0,0,0,0,0,0,0,0,15,58,15,27,51,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,12,27,5,13,0,20,0,0,0
10/21/2014 4:00:00 PM,0,0,7,0,0,0,0,0,14,24,16,51,14,20,39,84,105,94,92,71,81,84,55,26,56,26,58,11,45,27,63,66,0,15,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 5:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,43,95,100,104,98,46,40,70,100,95,81,101,90,31,91,101,95,45,48,18,61,26,64,79,75,43,63,62,70,41
10/21/2014 6:00:00 PM,8,25,0,0,0,15,24,47,36,44,70,99,86,64,52,63,30,33,62,107,68,56,78,45,28,7,26,45,53,50,62,82,92,76,30,57,51,37,60,74,23,19,4,39,32,51,65,84,99,58,83,49,48,19,35,0,19,73,72,70
10/21/2014 7:00:00 PM,32,42,86,91,84,36,34,20,50,50,34,81,75,110,90,52,76,87,70,66,49,68,27,0,0,0,0,0,9,55,26,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,24,40,10,0,50,54,91,79,64,61,15,29,12,0
10/21/2014 8:00:00 PM,20,33,37,53,21,20,47,90,67,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 9:00:00 PM,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,1,0,0,0,25,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,10,0,0,10
10/21/2014 10:00:00 PM,0,0,0,10,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 11:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,45,92,46,43,19,6,7,7,37,75,66,56,8,26,2,44,51,44,20,0,20,34,30,8,12,0,10,0,0,9,15,0,0,22,38,1,0,0,0,0,0,0
10/22/2014 12:00:00 AM,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
