ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10
10/21/2014 8:00:00 AM,10,12,10,10,10,10,10,12,10,10,10,10,10,10,10,12,30,26,12,30,12,12,26,30,26,12,10,12,28,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 9:00:00 AM,10,10,10,10,10,10,10,10,12,12,26,56,78,81,97,97,97,95,88,12,81,42,85,97,97,88,28,12,12,12,30,12,12,12,12,12,12,50,105,76,50,62,54,36,12,26,107,125,74,36,89,123,125,123,125,127,125,90,91,127
10/21/2014 10:00:00 AM,125,125,125,111,105,113,117,127,125,42,28,12,12,12,12,12,32,72,78,76,70,56,26,12,10,10,10,10,10,10,10,10,10,10,10,12,26,34,30,12,36,42,34,30,42,70,78,60,60,54,26,12,12,12,12,12,10,12,24,12
10/21/2014 11:00:00 AM,12,10,10,28,12,12,28,10,12,12,12,10,10,12,12,10,10,12,10,10,10,10,12,12,10,10,10,12,12,10,12,26,10,12,10,10,12,10,12,34,38,32,62,79,72,32,26,28,36,30,12,12,12,10,12,12,28,64,54,26
10/21/2014 12:00:00 PM,12,12,12,24,26,12,10,12,10,26,12,26,26,36,28,28,12,12,28,12,12,12,12,12,12,12,10,12,26,12,12,12,10,12,12,12,12,10,12,10,10,10,10,12,12,10,12,12,10,10,10,28,12,10,10,10,10,10,10,12
10/21/2014 1:00:00 PM,12,12,10,26,24,12,12,12,12,12,12,12,12,28,12,10,10,10,12,10,12,12,26,12,26,28,26,24,12,34,26,30,12,36,30,26,26,26,12,28,12,28,12,26,66,83,99,99,99,101,95,30,89,97,90,76,83,74,44,32
10/21/2014 2:00:00 PM,12,30,10,12,24,38,40,32,36,12,12,28,24,26,24,24,12,28,28,12,40,26,12,24,12,28,12,12,12,12,24,24,28,30,32,12,24,32,28,28,28,28,32,12,32,28,24,32,34,28,26,36,34,12,12,12,12,10,28,12
10/21/2014 3:00:00 PM,30,28,28,28,26,10,12,12,28,28,36,70,76,72,78,81,97,95,95,95,92,81,88,40,12,32,60,83,95,93,90,68,70,68,83,93,80,42,28,12,24,10,12,28,12,10,12,10,12,10,10,12,30,28,36,12,12,64,80,81
10/21/2014 4:00:00 PM,97,97,97,93,60,50,85,86,32,12,12,12,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,12,12,12,10,10,10,12,10,12,10,10,10,10,10,12,12,12,10,10,12,12,10,40,81,93
10/21/2014 5:00:00 PM,26,74,89,103,101,99,97,93,42,24,26,28,30,26,12,12,12,26,12,28,12,26,12,12,12,12,12,12,12,12,10,10,12,12,12,12,10,12,10,10,12,12,12,12,10,12,12,12,28,12,24,12,12,28,12,24,12,12,10,10
10/21/2014 6:00:00 PM,10,26,12,12,26,62,34,12,32,48,34,12,10,10,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,10,10,12,38,26,24,28,42,28,26,12,12,10,12,12,10,10,10,10,10,10,10,10,12
10/21/2014 7:00:00 PM,10,10,12,10,10,10,12,10,12,10,10,12,10,10,10,12,12,12,12,12,12,26,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 8:00:00 PM,12,12,12,12,12,12,28,26,12,12,12,12,10,12,26,26,12,28,12,12,10,12,10,10,10,12,12,10,10,26,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 9:00:00 PM,10,10,10,10,10,12,10,10,10,12,12,12,28,12,12,12,30,12,26,12,26,12,12,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,10,12,10,12,12,12,12,28,24,12,12,12,24,26,10,10,10,12,10,10,10,10
10/21/2014 10:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,12,10,12,10,10,12,12,12,12,26,30,12,24,10,10,12,10,10
10/21/2014 11:00:00 PM,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,10,10,10,24,12,30,12,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
