ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,12,10,10,10
10/21/2014 3:00:00 AM,10,12,10,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,12,12,10,28,12,12,12,12,12,30,28,24,12,12,28,12,12,10,10,10,10,10,10,12,10,10,26
10/21/2014 4:00:00 AM,32,12,12,12,24,26,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,12,10,24,28,12,30,12,12,24,70,79,93,95,97,95,95,93,93,84,38,10,10,12,12
10/21/2014 5:00:00 AM,12,10,10,10,10,10,12,12,10,10,12,12,12,12,10,10,10,12,10,12,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,10,26
10/21/2014 6:00:00 AM,12,10,10,10,10,10,10,12,50,66,68,62,74,70,44,26,32,12,12,12,12,10,12,12,12,12,10,10,12,36,24,10,10,12,10,10,10,12,12,10,12,10,10,12,10,32,10,12,10,10,10,10,10,10,10,10,12,10,10,10
10/21/2014 7:00:00 AM,10,12,10,10,12,12,12,12,10,12,10,12,12,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,12,12,36,32,12,42,62,54,66,70,40,28,10,12,12,12
10/21/2014 8:00:00 AM,26,12,12,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,12,12,12,24,12,12,12,12,12,10,12,12,12,12,10,12,30,12,42,72,74,68,72,76,60,74,68,44,81,68
10/21/2014 9:00:00 AM,66,72,64,68,66,66,70,74,74,72,76,68,30,10,10,26,12,36,28,12,12,10,12,10,10,24,12,12,10,12,12,12,10,10,12,12,12,12,12,36,12,28,12,10,30,30,26,36,12,28,34,12,40,28,30,12,34,34,24,34
