ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,12,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,12,12,10,10,10,10,10,12,10,12,12,12,28,26,12,12,28,26,12,26,32,28,26,36,28,26,12,12,12,30,30,36,38,32
10/21/2014 6:00:00 AM,34,28,12,28,34,52,74,74,72,76,54,68,72,74,74,72,70,66,68,62,68,54,38,12,12,12,12,36,26,34,12,12,12,12,12,12,12,12,26,12,10,10,10,10,12,12,10,10,10,12,10,12,12,12,12,12,10,10,10,24
10/21/2014 7:00:00 AM,12,34,26,12,12,12,10,12,10,12,12,24,12,24,30,56,66,78,78,78,66,34,12,10,12,12,10,10,10,12,10,10,10,10,12,10,10,10,12,12,10,10,10,10,10,12,12,10,10,12,26,30,26,10,10,10,10,10,10,24
10/21/2014 8:00:00 AM,10,12,26,10,12,26,28,12,10,12,10,10,10,10,10,12,10,12,32,10,10,10,10,10,10,12,10,10,10,10,10,10,12,12,10,10,10,10,12,24,58,62,64,70,36,12,36,34,12,12,28,12,12,28,24,10,12,10,12,12
10/21/2014 9:00:00 AM,12,12,12,12,12,12,12,28,12,12,12,12,12,12,12,28,12,10,10,10,12,10,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,26,12,24,12,12,12,12,12,12,12,24,10,10,10,12,28,12
10/21/2014 10:00:00 AM,26,12,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,26,12,12,12,24,24,12,12,12,10,26,10,12,30,12,12,12,36,56,12,12,42,58,52,64,42,42,72,44,12,10,10,12,24,10,10
10/21/2014 11:00:00 AM,12,10,12,12,10,12,10,10,10,10,12,12,12,10,10,10,10,10,12,12,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,12,30
10/21/2014 12:00:00 PM,48,62,66,72,70,74,72,72,72,62,36,32,60,70,72,72,72,72,70,70,62,44,24,12,32,12,12,12,12,12,12,12,12,10,12,10,12,10,10,10,10,10,10,10,12,10,10,12,10,10,12,10,12,10,12,12,12,10,10,12
10/21/2014 1:00:00 PM,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12,12,24,26,26,12,26,30,12,28,12,28,12,12,12,10,26,24,10,10,10,10,12,12
10/21/2014 2:00:00 PM,12,26,12,32,12,26,30,28,26,12,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,12,10,12,12,12,12,28,26,26,30,28,12,12,10,12,10,28,40,28,12,12,12,12,12,10,10,10,10,10,12,12,12,12,10
10/21/2014 3:00:00 PM,12,12,12,12,10,10,26,12,12,26,12,12,10,12,26,12,12,12,12,12,12,12,10,12,28,10,10,10,10,10,10,28,12,12,12,28,12,24,26,12,12,12,30,24,30,26,36,26,12,12,12,12,12,10,12,10,12,10,10,12
10/21/2014 4:00:00 PM,10,10,10,28,24,12,10,12,10,36,30,32,28,30,38,12,12,32,26,12,12,12,26,12,12,12,26,12,30,38,30,12,28,12,28,12,12,12,12,26,24,12,10,12,10,10,24,26,12,12,10,10,10,12,44,26,10,10,10,10
10/21/2014 5:00:00 PM,10,30,42,60,42,44,34,28,12,12,12,12,12,26,12,12,12,12,12,26,24,12,12,12,24,12,12,12,12,12,12,26,12,12,12,12,10,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,10,12,10,12,12,12,12,12
10/21/2014 6:00:00 PM,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,26,12,10,12,12,12,12,12,12,12,12,24,12,12,12,12,12,12,12,28,12,28,56,40,48,26,10,12,12,12,12,12,12,10,12,12,10,12,10
10/21/2014 7:00:00 PM,10,10,10,12,10,10,10,10,12,10,12,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10,10,12,12,12,10,12,12,26,12,12,12,12,24,40,28,28,30,26,12,12,12,12,26,12,12,12,26,10,10,10,10,10,12
10/21/2014 8:00:00 PM,10,12,10,10,10,10,10,10,10,10,12,12,10,12,26,26,12,12,28,12,30,26,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 9:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 10:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 11:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,28,26,26,12,12,12,12,12,12,10,12,12,12,12,12,10,10,28,26,26,24,12,28,30,32,36,36,12,10,10,10,10,10,12,12,24,24,12,10,12,12,10,10
10/22/2014 7:00:00 AM,10,10,10,10,12,12,10,12,10,10,10,10,12,10,12,10,10,10,10,10,10,12,12,10,12,12,26,26,28,38,24,12,24,12,28,12,12,24,26,32,30,36,40,56,66,78,76,76,72,66,70,66,66,66,70,68,58,26,10,10
10/22/2014 8:00:00 AM,12,12,10,10,26,30,28,12,12,12,12,10,10,12,12,12,12,12,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,24,10,12,10,12,10,10,10,10,10,24,50,42,72,36,12
