ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,32,28,26,12,12
10/21/2014 6:00:00 AM,12,12,12,12,12,12,10,12,12,28,12,12,10,10,12,26,26,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,12,10,12,12,10,12,10,10,10,12,10,12,10,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,12,26,26,12,12,10,10,10,10,10,10,10,10,10,10,10,12,12,32,26,42,30,12,28,26,12,12,28,12,30,78,89,101,103,101,103,99,103,101,99,99,90,42,64,24,36,70,89,107,107,107,107,105,107,107
10/21/2014 8:00:00 AM,107,107,107,107,107,107,105,105,105,107,105,107,105,105,105,103,101,101,101,101,101,99,101,99,101,99,99,99,99,101,99,97,99,99,97,95,95,95,95,93,93,103,105,105,101,103,64,64,87,103,103,101,101,99,99,103,101,101,99,101
10/21/2014 9:00:00 AM,99,101,60,12,26,12,12,26,42,12,26,26,52,42,64,85,99,101,101,101,99,99,97,99,101,97,68,24,12,26,12,34,34,26,28,28,12,12,12,12,12,12,12,12,10,12,12,26,40,30,36,12,32,28,26,28,28,12,30,26
10/21/2014 10:00:00 AM,28,12,28,12,26,12,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,28,28,24,42,78,80,78,76,81,93,90,78,78,78,76,68,34,12,12,28,12,10,26,12,12,10,10,10,10,10,10,10,10
10/21/2014 11:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10
10/21/2014 12:00:00 PM,10,10,10,12,12,10,10,12,10,12,10,10,12,10,10,10,10,10,30,30,12,12,40,58,76,76,78,76,76,76,74,76,76,70,42,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,30,50,12,10,10,12,10,26,24,10
10/21/2014 1:00:00 PM,26,10,40,36,12,12,12,12,12,12,10,12,12,10,10,10,12,12,12,12,12,50,36,28,28,26,12,12,10,12,10,10,12,30,12,10,12,28,28,12,12,12,12,26,26,12,12,28,24,12,12,10,10,26,12,10,10,26,12,12
10/21/2014 2:00:00 PM,12,24,12,12,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,28,12,12,10,10,10,12,28,12,12,26,28,12,10,12,10,10,12,12,24,12,10,12,12,10,26,12,12,12,10,12,12,12,10,10,10,10,10,10,10
10/21/2014 3:00:00 PM,10,10,10,12,30,24,30,12,24,26,30,24,28,70,78,78,80,78,78,78,42,78,76,44,10,10,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 PM,10,10,10,10,10,10,12,12,10,10,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,28,60,74,76,66,76,78,78,78,44,78,34,68,50,26
10/21/2014 5:00:00 PM,34,26,26,28,26,12,10,24,40,72,54,26,10,10,12,10,12,12,10,10,12,10,12,12,10,10,12,10,12,12,10,12,10,12,10,10,10,12,12,10,12,10,10,10,10,10,12,12,10,12,10,12,10,12,10,10,12,10,12,10
10/21/2014 6:00:00 PM,12,10,10,24,30,28,10,10,10,12,12,10,10,10,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,12,10,10,12,10,10
10/21/2014 7:00:00 PM,10,10,12,12,24,28,12,12,10,12,12,10,10,12,12,10,10,10,10,10,12,10,10,10,12,12,10,10,10,12,12,12,10,10,10,12,10,10,26,10,12,10,10,10,10,26,12,28,34,10,10,12,10,10,24,26,12,10,12,12
10/21/2014 8:00:00 PM,10,10,10,10,10,24,10,10,12,10,12,12,28,62,42,28,28,12,12,26,12,26,12,12,12,10,10,12,26,12,24,26,24,24,12,12,12,12,12,12,12,12,12,10,12,10,10,10,12,12,10,12,12,12,12,12,12,12,12,10
10/21/2014 9:00:00 PM,10,10,12,10,10,28,26,12,10,12,12,10,12,26,24,26,12,12,10,10,32,12,12,10,12,10,12,10,10,10,10,10,10,10,24,12,32,26,10,10,10,10,10,12,10,10,10,12,12,10,12,12,10,10,10,10,10,10,10,12
10/21/2014 10:00:00 PM,12,10,12,12,12,12,12,12,10,10,10,12,10,10,30,26,12,12,10,10,10,10,26,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 11:00:00 PM,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 AM,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 5:00:00 AM,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,26,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,12,12,10,10,10,10,10,10,10,10,12,12,32,12,26,12
10/22/2014 6:00:00 AM,12,12,12,12,26,12,28,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,10,10,10,10,12,12,10,12,10,24,24,12,12,10,10,10,12,12,10,10,10,10,10,12,12,12,12,10,10,10,10,10
10/22/2014 7:00:00 AM,12,10,10,10,10,10,10,28,12,12,12,12,12,10,10,12,12,26,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,28,28,12,26,10,12,10,10,10,12,12,26,26,12,10,12,10,10,10,10,10,10,10,12,12,12
10/22/2014 8:00:00 AM,10,10,10,12,10,10,12,12,12,28,12,12,10,12,10,10,12,12,12,10,10,12,12,12,10,24,12,12,12,12,38,62,32,42,80,87,101,101,101,97,101,101,99,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
10/22/2014 9:00:00 AM,101,101,101,80,89,101,103,103,30,30,36,78,80,87,123,131,131,119,119,127,131,131,131,127,117,129,129,133,133,129,135,131,123,92,85,101,99,99,99,99,90,87,101,99,99,68,28,12,28,30,64,32,26,40,26,24,28,32,30,26
10/22/2014 10:00:00 AM,28,34,24,34,26,34,26,12,12,24,28,12,12,10,24,28,28,12,36,28,28,24,30,26,30,12,12,26,28,24,32,28,28,28,34,66,74,74,78,76,78,74,83,84,72,68,70,60,28,24,26,10,12,12,26,26,26,10,10,10
10/22/2014 11:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 PM,10,10,10,10,10,10,10,26,26,28,10,12,32,76,83,99,95,97,101,96,44,42,40,10,10,24,12,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,28
10/22/2014 1:00:00 PM,36,30,28,24,28,24,30,30,30,42,12,26,10,26,26,10,10,10,10,10,12,12,10,10,12,28,12,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,12,12,10,10,10,10,10,10,12,12,10,12,12,12,10,10,10,10
10/22/2014 2:00:00 PM,10,12,10,12,12,10,10,10,10,12,10,12,26,10,10,10,10,10,10,12,32,30,68,78,82,70,83,38,12,12,10,10,10,10,10,10,12,12,10,10,12,12,12,12,12,12,12,12,10,10,10,10,10,12,12,12,40,10,10,12
10/22/2014 3:00:00 PM,10,10,10,12,10,12,10,12,30,54,68,64,66,83,103,94,78,87,92,83,72,84,80,48,26,12,12,26,36,32,30,12,26,12,12,26,12,26,28,12,26,28,36,28,12,12,32,32,30,12,12,12,38,30,12,12,30,10,12,12
10/22/2014 4:00:00 PM,12,12,56,36,34,28,26,32,12,24,12,26,32,28,28,12,12,10,12,12,12,12,12,26,24,12,26,28,30,26,12,24,28,24,34,28,28,12,28,12,12,12,12,28,36,30,26,28,26,28,12,12,12,24,12,12,12,12,10,12
10/22/2014 5:00:00 PM,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,24,26,28,30,28,12,30,26,12,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,12,30,12,10,10,10,10,10,10
10/22/2014 6:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,28,12,12,12,12,28,12,12,12,36,38,10,12,12,12,12,12,10,10,10,10,10,12,10,10,10,10,10,12,10,10,10,10
10/22/2014 7:00:00 PM,10,12,12,28,10,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,32,24,28,12,10,10,10,10,10,10,10,10,12,12,10,12,30,12,12,10,10
10/22/2014 8:00:00 PM,10,26,26,12,10,10,12,10,12,10,10,10,12,12,10,10,12,10,10,12,10,12,12,12,24,12,12,10,12,10,10,10,10,12,26,12,10,28,12,10,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,10,12,12
10/22/2014 9:00:00 PM,10,10,12,12,12,10,10,10,10,12,34,12,12,12,12,10,12,12,10,12,10,10,10,10,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 10:00:00 PM,10,10,10,10,10,10,10,10,10,10,24,12,12,12,12,12,12,12,10,10,10,10,12,10,10,10,10,10,10,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 11:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12
10/23/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 3:00:00 AM,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
