ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,26,12,12,10,10,12,12,10,12,32,12,26,28,12
10/21/2014 7:00:00 AM,12,26,12,10,12,12,12,12,12,12,12,12,24,26,12,26,12,12,12,26,24,12,30,26,12,12,12,28,26,12,32,12,12,12,12,10,12,10,12,10,10,12,12,12,26,12,24,24,26,12,12,32,40,83,97,86,40,12,10,10
10/21/2014 8:00:00 AM,12,10,10,12,12,10,12,12,10,10,12,12,12,26,12,10,10,10,12,12,10,10,10,12,10,12,10,10,10,10,12,10,10,12,12,10,12,10,10,10,12,12,10,10,10,10,12,10,10,10,10,12,10,10,12,10,12,10,12,10
10/21/2014 9:00:00 AM,10,26,12,12,12,28,54,70,78,76,72,74,54,30,12,12,12,28,12,12,10,10,12,12,12,10,10,10,10,10,12,12,12,12,24,28,12,10,10,12,24,10,10,10,10,10,10,12,10,12,10,12,12,10,12,10,10,12,12,12
10/21/2014 10:00:00 AM,12,12,12,12,10,12,10,10,10,10,10,10,12,12,12,10,12,12,12,12,12,28,10,10,24,26,26,12,28,12,12,52,81,93,95,95,95,36,12,10,12,10,10,10,10,12,10,12,12,10,12,12,12,12,10,12,10,12,12,10
10/21/2014 11:00:00 AM,10,12,10,12,10,24,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,38,50,68,68,32,26,26,28,10,10,10,36,44,68,60,30,10
10/21/2014 12:00:00 PM,10,10,10,12,10,12,10,12,10,10,10,10,10,10,10,10,36,32,12,12,10,10,12,10,10,10,10,10,10,12,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,60,44,10,10,10,10,10,10,10,12,10,12,12,26,85
10/21/2014 2:00:00 PM,117,54,32,10,36,32,52,72,78,56,36,28,32,28,28,24,10,10,12,12,10,10,10,10,10,10,12,10,12,12,10,10,12,10,12,12,10,12,10,10,12,12,10,24,12,12,12,12,26,12,12,10,10,12,10,10,10,10,12,10
10/21/2014 3:00:00 PM,10,10,12,10,12,12,10,10,12,12,10,12,10,26,10,12,10,10,12,10,12,12,26,12,34,26,50,76,85,97,121,125,96,74,60,26,12,12,26,10,10,10,10,10,12,12,12,10,12,10,10,10,10,10,12,12,12,26,26,12
