ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,26,30,30,34,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,24,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 8:00:00 AM,10,12,10,10,10,10,10,10,10,10,12,12,10,28,12,26,30,12,12,36,32,32,60,52,64,66,56,50,26,32,28,12,10,10,10,12,10,12,10,10,10,10,10,10,10,10,32,32,26,32,32,52,34,54,54,38,36,10,12,26
10/21/2014 9:00:00 AM,10,12,32,12,12,12,12,10,10,12,24,26,12,12,10,10,12,36,30,56,54,58,66,54,64,34,38,48,36,12,12,12,12,12,10,12,26,12,12,12,12,12,12,10,12,12,26,26,24,26,24,12,10,10,26,10,10,12,12,10
10/21/2014 10:00:00 AM,12,12,12,12,12,10,10,12,24,12,10,10,24,12,26,10,10,10,12,12,10,12,12,12,10,10,10,12,12,38,42,26,28,42,60,56,40,28,30,30,34,38,40,36,38,32,36,12,12,12,12,12,12,12,12,10,12,12,12,10
10/21/2014 11:00:00 AM,12,12,10,12,12,12,12,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,12,12,10,10,10,12,12,12,10,10,10,12,12,10,10,10,12,10,12,10,10,12,12,12,10,10,10,10,12,12,10,10,10,12,12,12
10/21/2014 12:00:00 PM,34,12,12,12,10,12,12,10,12,10,10,10,10,10,12,10,12,12,12,12,12,12,10,10,10,10,12,10,10,12,10,12,12,10,10,12,12,10,10,10,28,54,40,58,58,60,56,36,26,12,12,12,10,10,12,12,12,30,38,50
10/21/2014 1:00:00 PM,60,58,54,54,42,52,26,28,24,34,24,12,12,12,34,36,34,34,38,12,28,28,32,48,62,66,66,38,26,12,32,50,36,48,44,36,52,34,26,32,32,32,42,34,12,44,30,26,36,32,12,40,42,12,32,36,26,10,32,42
10/21/2014 2:00:00 PM,50,52,40,32,12,34,26,32,30,32,30,30,56,64,70,72,68,62,34,34,36,42,42,42,36,38,34,28,12,12,30,12,12,12,12,26,24,12,10,10,12,10,10,30,54,38,56,54,54,38,54,50,64,38,38,34,38,12,26,38
10/21/2014 3:00:00 PM,24,12,36,36,26,12,32,26,36,12,12,12,12,12,12,10,10,28,42,28,32,38,12,24,12,10,12,12,12,12,10,10,12,12,10,12,12,12,26,10,10,12,12,26,12,12,12,12,10,10,12,26,32,24,28,12,30,12,12,12
10/21/2014 4:00:00 PM,12,12,26,12,12,10,10,12,28,30,28,38,28,30,36,56,68,62,60,50,54,56,40,32,40,32,42,26,36,32,42,44,12,28,26,12,10,12,24,12,10,12,12,12,10,10,12,10,10,10,10,12,10,10,10,10,12,12,10,12
10/21/2014 5:00:00 PM,10,10,10,12,10,10,10,12,10,10,10,10,12,12,12,10,10,10,10,10,12,28,28,10,12,10,10,12,12,12,36,62,66,68,64,38,36,48,66,62,54,66,60,32,60,66,62,36,38,28,42,32,42,54,52,36,42,42,48,36
10/21/2014 6:00:00 PM,26,30,12,12,12,28,30,38,34,36,48,64,58,42,40,42,32,34,42,70,44,40,54,36,32,26,32,36,40,38,42,56,60,52,32,40,38,34,42,50,30,28,24,36,32,38,44,56,64,42,56,38,38,28,34,12,28,50,50,48
10/21/2014 7:00:00 PM,32,36,58,60,56,34,34,30,38,38,34,54,52,72,60,40,52,58,48,44,38,44,32,10,10,10,10,10,26,40,32,12,12,26,10,10,10,10,30,12,10,12,12,12,12,12,30,36,26,12,38,40,60,54,42,42,28,32,26,12
10/21/2014 8:00:00 PM,30,34,34,40,30,30,38,60,44,32,12,24,10,10,12,10,10,12,12,12,12,10,10,12,10,10,10,10,24,10,10,12,10,10,10,12,10,10,26,10,10,12,12,12,10,12,12,10,10,10,12,10,12,10,12,10,10,10,10,10
10/21/2014 9:00:00 PM,10,10,10,10,32,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,12,26,10,10,10,12,12,12,10,10,24,24,12,12,12,30,26,10,28,12,12,12,12,10,10,12,12,12,10,12,12,26,10,24,26,12,10,26
10/21/2014 10:00:00 PM,12,12,10,26,12,24,12,12,12,10,10,10,12,26,12,12,12,10,12,12,12,10,10,12,10,10,10,12,12,12,12,10,10,10,28,12,12,12,26,12,10,10,10,10,12,12,10,12,10,12,12,10,10,12,12,12,12,10,10,10
10/21/2014 11:00:00 PM,12,10,10,12,12,10,12,12,10,10,12,24,10,10,10,12,10,26,36,60,38,36,28,24,26,26,34,52,44,40,26,32,24,36,38,36,30,12,30,34,32,26,26,12,26,12,12,26,28,12,12,30,34,24,10,12,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,12,12,26,10,24,12,12,12,12,10,10,10,10,10,10,26,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10
10/22/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 5:00:00 AM,10,12,10,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10
10/22/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,12,12,28,32,36,26,24,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 8:00:00 AM,12,12,30,26,28,30,28,12,12,12,12,10,36,32,42,34,52,54,60,70,60,36,30,34,32,30,30,36,42,56,58,56,40,28,10,30,12,30,12,12,12,12,12,12,30,10,12,12,12,12,12,30,56,50,58,64,52,40,34,32
10/22/2014 9:00:00 AM,58,44,34,12,30,26,10,12,10,12,10,12,12,26,26,24,10,10,12,12,12,12,10,12,12,12,32,26,26,12,12,30,12,12,12,12,12,12,10,12,10,10,10,10,12,10,10,10,10,10,12,28,28,26,10,26,12,12,12,12
10/22/2014 10:00:00 AM,28,12,10,10,10,12,12,12,12,10,10,12,12,10,10,30,26,12,26,26,26,12,24,12,12,12,12,12,10,10,12,12,12,10,10,10,12,26,10,12,28,12,10,12,12,26,28,32,40,36,38,42,56,72,68,64,56,36,42,10
10/22/2014 11:00:00 AM,12,12,10,26,10,24,24,12,10,10,12,36,24,12,30,10,12,26,12,10,12,10,12,12,10,12,10,12,12,12,12,10,10,12,10,10,12,10,12,10,12,10,12,10,10,12,30,48,38,36,40,52,44,36,32,38,38,36,42,38
10/22/2014 12:00:00 PM,28,12,12,12,10,12,12,28,12,12,12,12,12,34,32,34,28,12,12,12,12,12,12,40,26,12,12,30,38,56,68,72,72,70,76,72,74,62,54,32,36,32,40,32,12,24,10,10,10,10,10,10,10,10,10,10,10,12,28,34
10/22/2014 1:00:00 PM,26,10,10,10,10,10,10,10,10,10,10,10,10,12,12,32,26,60,72,72,60,38,64,60,34,30,12,12,26,10,12,10,10,12,10,12,10,10,12,10,10,10,10,12,26,10,12,10,12,12,12,12,10,10,12,10,10,12,10,12
10/22/2014 2:00:00 PM,10,10,12,10,12,12,10,10,10,12,10,12,12,12,12,26,12,30,40,44,52,38,72,72,70,44,34,28,12,38,36,26,28,42,48,36,60,72,74,60,54,48,28,26,26,30,10,10,24,12,12,38,28,30,32,26,24,40,58,60
10/22/2014 3:00:00 PM,66,68,66,68,52,60,66,66,66,66,38,62,66,64,64,66,64,64,66,68,64,62,64,64,64,64,64,70,40,12,38,117,76,62,38,42,64,70,62,50,50,42,36,38,36,38,50,44,38,52,64,50,24,26,12,12,30,40,52,54
10/22/2014 4:00:00 PM,32,32,32,12,12,12,28,30,36,36,26,26,34,28,32,12,30,36,38,42,12,12,32,38,32,34,38,38,50,56,44,50,60,58,30,36,40,36,10,12,12,12,24,10,10,12,32,28,32,12,26,36,26,30,12,10,10,10,10,30
10/22/2014 5:00:00 PM,32,34,12,42,28,30,32,38,32,30,12,26,28,36,32,26,50,42,32,26,36,42,36,42,54,40,38,44,56,48,12,12,24,12,12,12,12,12,12,12,12,24,12,24,12,26,10,12,12,26,12,10,10,12,24,10,26,12,12,12
10/22/2014 6:00:00 PM,12,24,12,38,24,10,32,26,12,12,26,12,32,12,12,36,32,30,12,10,12,12,12,12,10,12,12,30,24,10,34,24,12,12,12,30,24,24,12,24,10,12,12,24,24,12,12,26,26,30,10,10,12,10,12,12,12,12,12,12
10/22/2014 7:00:00 PM,10,10,34,38,26,28,26,10,12,12,12,10,12,10,38,28,12,12,28,26,12,12,10,12,12,12,12,26,10,24,36,26,12,34,28,12,12,12,26,34,12,12,10,12,10,10,12,10,10,10,10,24,30,34,38,30,12,12,24,10
10/22/2014 8:00:00 PM,10,12,34,24,26,10,24,26,26,26,12,10,10,12,28,52,26,34,12,38,30,28,36,30,28,30,24,34,12,12,12,12,26,12,12,12,12,12,10,12,28,24,12,12,12,12,10,12,12,26,12,12,38,54,30,12,36,70,42,26
10/22/2014 9:00:00 PM,12,12,12,12,26,34,38,40,54,62,54,38,64,44,34,26,36,38,50,56,56,44,30,34,28,32,52,26,26,12,10,12,12,12,12,10,32,42,40,34,12,24,32,34,28,28,26,12,12,10,10,10,10,12,10,12,12,10,12,12
10/22/2014 10:00:00 PM,10,12,10,12,12,12,12,12,10,12,12,10,12,10,10,10,10,12,12,12,10,10,10,12,24,36,48,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,26,12,12,12,36
10/22/2014 11:00:00 PM,28,10,10,10,10,10,10,10,10,10,10,10,10,12,24,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
