ActivityHour,Steps00,Steps01,Steps02,Steps03,Steps04,Steps05,Steps06,Steps07,Steps08,Steps09,Steps10,Steps11,Steps12,Steps13,Steps14,Steps15,Steps16,Steps17,Steps18,Steps19,Steps20,Steps21,Steps22,Steps23,Steps24,Steps25,Steps26,Steps27,Steps28,Steps29,Steps30,Steps31,Steps32,Steps33,Steps34,Steps35,Steps36,Steps37,Steps38,Steps39,Steps40,Steps41,Steps42,Steps43,Steps44,Steps45,Steps46,Steps47,Steps48,Steps49,Steps50,Steps51,Steps52,Steps53,Steps54,Steps55,Steps56,Steps57,Steps58,Steps59
10/21/2014 12:00:00 AM,0,9,0,20,9,0,0,0,27,0,59,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 1:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 2:00:00 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 3:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 4:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 5:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 6:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 7:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,2,7,31,8,37,36
10/21/2014 8:00:00 AM,75,16,0,0,0,0,0,0,0,0,0,0,12,87,103,20,10,0,0,12,0,7,0,0,0,7,36,0,8,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0
10/21/2014 9:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,20,53,72,39,0,38,0,0,0,0,0,0,0,0,0,0,50,0,32,22,0,0,0,0,0,0,0,0,0,67,69,62,29,0,0,0,10
10/21/2014 10:00:00 AM,0,0,0,7,42,47,0,0,38,34,12,65,15,69,53,59,49,35,9,18,42,40,0,0,25,35,21,0,0,0,0,37,53,34,32,0,35,21,36,40,36,32,14,24,7,16,9,0,11,0,39,23,7,0,5,0,0,0,0,0
10/21/2014 11:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,31,2,28,67,74,26,0,18,3,10,16,55,22,34,15,19,0,0,0,0,0,32,20,6,0,23
10/21/2014 12:00:00 PM,10,10,10,8,14,29,33,12,8,1,6,0,0,0,0,0,6,23,6,0,0,0,0,0,0,0,0,4,23,23,32,55,80,64,95,87,89,18,0,0,0,0,27,0,0,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0
10/21/2014 1:00:00 PM,0,0,8,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,9,49,81,105,100,106,84,25,28,10,2,0,0,0,15,0,0,0,7,10,0,12,48,23,0,8,0,0,0,19,0,8,0,10,1,57,89,89,88,108,109
10/21/2014 2:00:00 PM,110,108,81,29,22,22,67,27,62,94,66,58,26,5,34,64,62,22,65,91,106,109,108,99,37,0,14,3,0,0,0,0,0,0,28,24,0,0,0,0,0,0,0,14,22,20,21,0,0,0,0,20,24,47,63,4,0,0,0,13
10/21/2014 3:00:00 PM,0,0,6,0,0,0,0,0,15,0,0,14,19,35,35,21,6,0,20,18,0,8,0,10,0,9,15,10,39,15,7,34,8,10,8,0,6,15,0,30,10,0,0,26,29,19,0,0,27,13,36,6,0,8,0,34,12,13,20,0
10/21/2014 4:00:00 PM,43,22,11,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,26,0,0,12,31,10,0,0,0,0,30,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,15,11
10/21/2014 5:00:00 PM,19,22,13,0,10,21,0,12,71,23,0,0,0,7,0,0,0,0,0,0,56,29,11,7,4,0,0,0,22,0,0,0,0,0,0,61,14,25,0,0,7,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014 6:00:00 PM,12,17,0,16,0,0,11,9,7,7,0,0,11,0,29,23,9,12,3,15,30,47,57,4,0,5,13,8,4,0,4,8,10,0,0,8,10,0,23,0,0,24,17,0,0,0,0,14,0,16,0,0,0,0,0,18,13,12,0,43
10/21/2014 7:00:00 PM,0,28,51,59,51,18,7,8,7,0,8,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,18,0,16,0,0,0,18,11,0,0,0,0,0,10,0,0,0,0,0,0,0,11,33,24,49,11,14,7,8,0,4,0,0,0
10/21/2014 8:00:00 PM,6,0,0,0,7,63,31,8,40,41,20,24,0,33,8,4,0,0,9,0,0,0,4,0,0,0,0,0,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,29,0,0,0,0,0,0,0,0,0
10/21/2014 9:00:00 PM,0,0,0,0,23,9,21,25,44,33,35,41,14,0,0,0,0,0,0,0,0,0,7,0,0,0,24,22,4,32,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0
10/21/2014 10:00:00 PM,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,10,30,10,7,4,6,9,0,0,0,0,0,0,0,11,0,8,11,7,7,4,13,19,19,20
10/21/2014 11:00:00 PM,22,6,18,13,18,0,0,0,0,10,0,0,9,36,28,11,0,0,42,7,0,0,0,0,0,0,0,33,20,0,0,0,0,14,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 12:00:00 AM,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,30,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 1:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 2:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 3:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 4:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 5:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 6:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 7:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014 8:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,16,23,29,37,8,18,4,0,0,0,17,4,0,12,0,28,33,0,15,21,33,18,7,5,32,44,43,41,0,0,51,15,27,21,36,25,31,0,23,14,22
10/22/2014 9:00:00 AM,92,0,0,0,0,0,0,0,0,0,0,82,101,111,107,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,94,101,113,110,99,36,0
10/22/2014 10:00:00 AM,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,100
10/22/2014 11:00:00 AM,99,63,17,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
10/22/2014 12:00:00 PM,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,3,0,0,0,0,0,5,0,0,35,5,0,0,17,10,36,8,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,36,89,33
10/22/2014 1:00:00 PM,14,55,7,8,16,31,76,97,0,0,0,10,44,51,28,29,30,68,88,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0
