ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,26,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26,26,28,12,12,12,32,28,42,12,12,10,10,10,12,10,10,10,10,10,50,34,10,10,52
10/21/2014 8:00:00 AM,12,12,12,12,12,12,10,10,12,12,10,10,10,10,12,10,10,10,10,10,12,10,10,12,10,10,10,10,10,10,10,12,12,12,12,12,38,64,28,12,12,12,12,12,12,12,12,12,42,42,28,12,12,30,10,10,10,10,10,12
10/21/2014 9:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,10,10,10,12,12,10,10,10,10,10,10,12,10,12,12,10,10,10,10,10,26,10,10,10
10/21/2014 10:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,26,12,24,12,26,12,12,42,26,12,24,40,12,12,10,10,12,10,10,12,10,10,26,28,12,28,12,28,32,30,32,30,26,40,24,12,12,12,12,12,10,10,10,12,10,30,66,54
10/21/2014 11:00:00 AM,26,44,34,34,30,38,44,40,36,44,28,32,42,30,42,48,26,12,12,30,26,38,32,32,32,36,52,54,52,36,32,12,12,12,12,12,32,38,30,38,42,32,36,30,12,12,26,28,28,30,12,30,30,30,32,42,32,30,34,28
10/21/2014 12:00:00 PM,26,28,40,12,34,28,36,32,26,12,34,42,60,60,28,12,12,10,12,28,12,24,50,34,30,50,36,30,34,28,56,42,36,62,50,42,50,42,50,36,12,34,36,32,50,52,32,32,32,48,40,36,10,10,10,12,12,32,40,28
