ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,12,10,10,10,10,12,28,12,10,10,10,10,10,12,36,32,34,30,34,30,28,30,36,30,26,30,12,26,10,10,10,12,12,12,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,26
10/21/2014 7:00:00 AM,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,34,30,26,12,12,10,10,10,10,10,10,10,10,10,10,10,12,26,52,78,78,70,74,60,76,76,76,42,74,76,74,76,66,68
10/21/2014 8:00:00 AM,38,10,30,10,10,10,12,12,12,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,32,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12
10/21/2014 9:00:00 AM,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,32,36,58,42,52,68,72,72,74,66,58,34,32,56,62,40,28,26,28,12,12,10,10,12,12,10,12,10,10,12,66,32,12,12,12,12,10,12,12,12,12,12,10,12,10
10/21/2014 10:00:00 AM,10,12,26,12,12,12,10,12,10,12,12,12,10,12,12,10,26,12,26,38,30,58,64,54,28,28,48,12,40,62,85,115,115,115,117,117,117,117,115,113,113,101,84,64,74,62,36,10,12,26,36,34,36,60,54,68,54,74,40,74
10/21/2014 11:00:00 AM,38,12,12,10,10,10,12,10,30,10,10,12,12,50,38,34,28,12,10,12,12,12,12,10,10,10,10,26,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 12:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
