ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/21/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,12,30,24,12,26,24,12,24,12,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 1:00:00 AM,10,10,10,10,10,12,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 2:00:00 AM,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 7:00:00 AM,10,10,24,12,26,34,26,28,12,12,28,26,30,28,26,12,12,28,12,26,36,32,12,12,26,12,12,12,12,32,30,34,34,50,72,78,81,95,95,93,78,28,26,26,26,12,10,10,10,10,12,10,12,10,12,10,12,12,12,12
10/21/2014 8:00:00 AM,12,12,10,12,10,10,10,12,10,10,12,10,10,10,10,12,10,10,10,10,10,10,12,12,10,10,10,12,12,10,10,10,12,10,12,10,10,10,12,10,10,10,10,10,10,10,10,12,10,12,10,12,10,10,12,10,10,12,12,12
10/21/2014 9:00:00 AM,10,10,10,10,10,10,10,10,10,28,12,12,10,24,50,83,56,36,60,83,94,74,76,34,26,10,10,10,10,24,10,10,10,12,12,10,12,10,12,12,12,12,10,10,10,10,12,12,10,12,12,12,12,10,10,12,12,42,42,10
10/21/2014 10:00:00 AM,10,10,10,12,10,10,10,10,10,10,10,12,10,12,10,10,10,10,10,12,12,12,10,12,10,10,10,12,10,10,10,10,12,10,10,12,26,10,12,10,10,10,10,10,12,10,10,30,12,48,64,74,68,70,38,36,12,10,10,10
10/21/2014 11:00:00 AM,12,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,10,10,10,10,10,10,10,12,10,10,10,12,12,12,12,10,10,12,12,12,10,12,10,26,26
10/21/2014 12:00:00 PM,36,70,70,66,36,10,10,10,12,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,24,32,34,36,12,12,12,10,26,12,10,12,12,10,12,10,10,10,10,12,12,12,10,10,10,10,10,12,10,12,12,10,10,12
10/21/2014 1:00:00 PM,10,10,10,10,12,12,10,10,10,10,12,12,10,10,12,10,10,12,10,12,10,12,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12,26,62,70,72,52,26,12,10,12,10,10,12,10,12,10,28,26,36,24,10,10,10
10/21/2014 2:00:00 PM,12,12,12,12,12,12,12,10,10,10,12,12,12,26,24,10,10,10,12,10,12,12,12,10,12,10,10,10,12,10,10,10,12,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,12,10,10,10,10,10,10
10/21/2014 3:00:00 PM,10,12,10,10,10,10,10,10,10,10,12,10,12,26,26,10,12,58,62,60,72,36,42,32,38,30,56,12,10,12,12,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/21/2014 4:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,36,12,10,10,12,30,50,24,10,10,10,10,26,32,12,10,10,12,12,10,26,38,30,12,10,10,10,12,10,10,12,24,38,12,10,12,24,10,12,12,10,12,12
10/21/2014 5:00:00 PM,10,10,10,12,24,30,24,26,10,12,26,26,26,26,12,56,56,48,62,58,48,54,64,64,28,12,12,12,12,12,12,12,12,12,12,10,12,10,12,12,10,10,12,10,10,12,12,12,10,12,12,10,12,12,10,10,12,26,12,10
10/21/2014 6:00:00 PM,12,12,12,12,12,12,12,10,26,12,26,12,26,12,12,10,10,10,12,48,72,72,70,44,60,72,76,54,28,12,10,10,10,10,10,10,12,30,10,10,10,10,10,10,12,36,30,28,42,40,12,12,12,12,26,12,38,58,34,26
10/21/2014 7:00:00 PM,28,12,12,12,12,12,12,12,12,26,10,12,10,10,10,10,10,10,12,12,10,10,12,10,10,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,24,10,10,10,10,10,10,12,26,10,10,10,12,12,12,12,12,24
10/21/2014 8:00:00 PM,50,64,30,12,12,32,42,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,26,26,28,12,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12
10/21/2014 9:00:00 PM,12,12,10,10,12,58,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,12,12,10,10,10,26,10,10,12,10,10,10,10,12,12
10/21/2014 10:00:00 PM,12,10,12,12,12,10,12,10,12,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,52,26,28,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10
10/21/2014 11:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,36,12,12,10,10,10,10,12,10,26,12,12,10,26,30,36,12,10,10,26,12,12,26,12,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 7:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 8:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 9:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 10:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 11:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 12:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/22/2014 1:00:00 PM,10,10,10,10,12,10,12,12,26,26,34,32,32,26,52,10,26,10,10,10,10,12,12,10,24,64,32,32,12,10,10,12,10,10,10,10,10,10,10,10,10,10,12,10,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,10
10/22/2014 2:00:00 PM,10,10,10,10,10,10,10,10,12,26,10,10,10,12,26,12,10,12,50,24,12,12,12,12,12,12,10,10,10,10,10,12,12,12,12,10,10,12,12,12,10,10,10,10,10,12,12,10,10,10,10,10,12,12,12,12,12,12,10,12
10/22/2014 3:00:00 PM,10,10,12,12,32,28,12,10,10,10,10,10,10,10,12,12,12,10,10,12,12,12,10,12,12,12,12,12,12,10,10,10,10,12,32,38,26,24,24,26,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,10,10,10,10,10
10/22/2014 4:00:00 PM,10,10,10,10,10,10,12,10,12,12,12,10,10,10,10,10,12,10,12,10,10,10,10,12,10,10,10,12,10,10,12,24,10,10,10,12,26,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,24,54,36,70,83,93,88
10/22/2014 5:00:00 PM,78,76,30,76,79,95,86,60,76,76,74,36,24,10,10,12,10,10,10,10,10,10,10,30,26,26,26,12,10,12,10,10,12,10,10,10,10,10,10,32,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10
10/22/2014 6:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,12,10,10,12,10,10,12,12,10,10,12,10,10,10,26,28,36,38,38,30,28,64,28,12,28,12,12,12,12,12,12,26,12,12,26,26,60,76,80
10/22/2014 7:00:00 PM,70,52,12,10,58,109,119,119,78,56,60,64,62,74,68,68,64,64,81,74,76,64,56,60,58,52,60,82,84,38,42,26,30,12,10,12,10,12,28,34,34,30,28,12,38,76,74,78,64,10,10,58,54,34,24,32,26,12,12,12
10/22/2014 8:00:00 PM,24,12,12,12,12,26,12,30,42,28,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,26,28,12,10,12,10,32,12,12,12,30,32,24,12,12,28,12,32,28,26,12,26,12,12,26,12,26,12,26,12
10/22/2014 9:00:00 PM,12,12,10,10,10,10,10,10,10,10,10,10,12,10,10,26,10,10,10,10,10,10,12,12,12,12,24,12,12,12,32,12,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,10,12,10,10,12,10,10,10,10
